node	bin
NODE_1036_length_3861_cov_29.778770	183
NODE_653_length_23549_cov_16.186941	183
NODE_577_length_31885_cov_17.192900	183
NODE_654_length_23469_cov_36.863543	183
NODE_524_length_37102_cov_18.828731	183
NODE_414_length_49854_cov_16.378843	183
NODE_295_length_70315_cov_16.660390	183
NODE_367_length_59080_cov_18.679492	183
NODE_309_length_67436_cov_15.481694	183
NODE_694_length_20810_cov_15.264177	183
NODE_233_length_86729_cov_29.075167	183
NODE_242_length_84561_cov_15.491137	183
NODE_513_length_38311_cov_21.036256	183
NODE_135_length_129068_cov_15.805647	183
NODE_874_length_9276_cov_15.170589	183
NODE_433_length_47623_cov_15.496174	183
NODE_420_length_49329_cov_15.485104	183
NODE_431_length_48061_cov_15.216827	183
NODE_633_length_25756_cov_15.032839	183
NODE_471_length_43514_cov_15.897559	183
NODE_167_length_110009_cov_15.993470	183
NODE_208_length_91888_cov_15.710660	183
NODE_448_length_45442_cov_16.209686	183
NODE_31_length_282212_cov_29.382925	183
NODE_424_length_48662_cov_14.975600	183
NODE_512_length_38329_cov_15.764618	183
NODE_231_length_87601_cov_43.770521	183
NODE_78_length_180064_cov_15.528740	183
NODE_557_length_34132_cov_14.935176	183
NODE_289_length_71906_cov_15.282209	183
NODE_214_length_90588_cov_15.672606	183
NODE_702_length_20096_cov_19.313507	183
NODE_275_length_73902_cov_15.745799	183
NODE_234_length_86433_cov_15.575725	183
NODE_353_length_60408_cov_15.051795	183
NODE_450_length_45030_cov_34.056098	183
NODE_364_length_59373_cov_15.250093	183
NODE_266_length_76222_cov_15.058674	183
NODE_751_length_17067_cov_29.267811	183
NODE_43_length_249464_cov_31.570096	183
NODE_120_length_139564_cov_28.779792	183
NODE_345_length_61472_cov_15.612339	183
NODE_278_length_73535_cov_15.869584	183
NODE_451_length_45002_cov_14.961288	183
NODE_386_length_53458_cov_15.138063	183
NODE_219_length_89714_cov_15.592679	183
NODE_198_length_95185_cov_15.220183	183
NODE_734_length_17937_cov_15.537524	183
NODE_740_length_17589_cov_15.284818	183
NODE_466_length_44374_cov_15.666983	183
NODE_403_length_51075_cov_28.795864	183
NODE_465_length_44383_cov_15.825776	183
NODE_287_length_72212_cov_30.861510	183
NODE_371_length_58072_cov_28.594481	183
NODE_769_length_15133_cov_14.656984	183
NODE_122_length_138089_cov_15.520546	183
NODE_279_length_73443_cov_15.578201	183
NODE_446_length_45681_cov_15.539692	183
NODE_85_length_176631_cov_15.811175	183
NODE_59_length_203813_cov_15.775322	183
NODE_166_length_110262_cov_15.852097	183
NODE_788_length_13906_cov_30.292398	183
NODE_511_length_38354_cov_29.948798	183
NODE_91_length_169704_cov_15.436820	183
NODE_276_length_73573_cov_14.865693	183
NODE_526_length_37023_cov_28.883900	183
NODE_307_length_67772_cov_15.337286	183
NODE_732_length_17976_cov_16.538307	183
NODE_27_length_304762_cov_15.900560	183
NODE_875_length_9205_cov_28.863279	183
NODE_955_length_5505_cov_15.335229	183
NODE_546_length_35326_cov_30.445890	183
NODE_194_length_96366_cov_15.627374	183
NODE_408_length_50675_cov_31.291031	183
NODE_768_length_15269_cov_14.424280	183
NODE_32_length_281386_cov_15.533148	183
NODE_586_length_30609_cov_28.755744	183
NODE_500_length_39760_cov_15.918247	183
NODE_436_length_46528_cov_17.469735	183
NODE_365_length_59199_cov_28.730319	183
NODE_894_length_8258_cov_17.345605	183
NODE_197_length_95230_cov_27.225395	183
NODE_1085_length_3154_cov_16.678929	183
NODE_341_length_61702_cov_15.976009	183
NODE_559_length_33882_cov_17.707009	183
NODE_209_length_91609_cov_15.413133	183
NODE_703_length_20012_cov_14.953300	183
NODE_563_length_33046_cov_15.361978	183
NODE_741_length_17576_cov_15.483135	183
NODE_783_length_14264_cov_15.744247	183
NODE_217_length_90344_cov_15.592808	183
NODE_191_length_98472_cov_16.993964	183
NODE_1078_length_3264_cov_37.977251	183
NODE_75_length_182746_cov_15.592947	183
NODE_157_length_118196_cov_31.688499	183
NODE_142_length_124578_cov_30.422211	183
NODE_487_length_40927_cov_15.707624	183
NODE_213_length_91023_cov_15.522458	183
NODE_153_length_119285_cov_21.845307	183
NODE_602_length_29322_cov_14.940889	183
NODE_1073_length_3314_cov_35.050322	183
NODE_390_length_52681_cov_31.239767	183
NODE_17_length_377882_cov_15.451662	183
NODE_68_length_193314_cov_25.085155	183
NODE_668_length_22601_cov_17.975517	183
NODE_11_length_470206_cov_31.195709	183
NODE_205_length_93300_cov_14.960298	183
NODE_58_length_204144_cov_28.969489	183
NODE_397_length_51584_cov_33.109026	183
NODE_461_length_44529_cov_16.329024	183
NODE_447_length_45560_cov_25.313922	183
NODE_19_length_346273_cov_15.551185	183
NODE_907_length_7531_cov_45.602060	183
NODE_468_length_44062_cov_14.865476	183
NODE_82_length_177411_cov_15.541893	183
NODE_102_length_154454_cov_29.153071	183
NODE_356_length_60075_cov_15.779523	183
NODE_372_length_57884_cov_15.545626	183
NODE_93_length_165876_cov_15.554875	183
NODE_1058_length_3584_cov_17.475772	183
